,STATE,HSS_2013,CPE_2013,IIM_2013,HD_2013,CM_2013,EOH_2013,HSS_2014,CPE_2014,IIM_2014,HD_2014,CM_2014,EOH_2014,HSS_2015,CPE_2015,IIM_2015,HD_2015,CM_2015,EOH_2015,HSS_2016,CPE_2016,IIM_2016,HD_2016,CM_2016,EOH_2016,HSS_2017,CPE_2017,IIM_2017,HD_2017,CM_2017,EOH_2017,HSS_2018,CPE_2018,IIM_2018,HD_2018,CM_2018,EOH_2018,HSS_2019,CPE_2019,IIM_2019,HD_2019,CM_2019,EOH_2019,HSS_2020,CPE_2020,IIM_2020,HD_2020,CM_2020,EOH_2020
18,LA,7.099999905,4.400000095,7.800000191,3.900000095,5.099999905,6.0,8.0,4.5,8.0,3.900000095,4.900000095,5.800000191,7.300000191,4.0,8.0,3.900000095,4.800000191,5.900000095,8.199999809,4.699999809,8.300000191,4.0,4.800000191,7.0,7.5,5.0,8.399999619,4.099999905,4.800000191,6.900000095,7.400000095,5.0,8.399999619,3.900000095,4.300000191,6.900000095,7.099999905,5.300000191,9.100000381,3.900000095,4.800000191,6.400000095,7.400000095,5.400000095,9.600000381,4.599999905,5.400000095,6.300000191
19,MA,8.300000191,5.400000095,8.0,4.900000095,6.199999809,5.699999809,8.5,5.599999905,8.199999809,4.900000095,6.199999809,5.800000191,9.100000381,5.199999809,8.199999809,4.900000095,6.300000191,6.0,9.5,6.599999905,8.199999809,4.900000095,6.0,7.5,9.600000381,7.199999809,8.899999619,4.900000095,6.800000191,7.599999905,9.5,7.0,8.899999619,4.900000095,6.599999905,7.699999809,9.399999619,6.900000095,8.899999619,4.900000095,7.0,7.5,9.399999619,7.099999905,8.899999619,4.900000095,6.800000191,7.599999905
20,MD,7.699999809,4.800000191,8.800000191,5.699999809,5.900000095,7.699999809,7.800000191,4.800000191,8.899999619,5.800000191,5.900000095,7.699999809,8.199999809,5.099999905,9.0,5.699999809,5.900000095,7.800000191,8.800000191,5.599999905,9.100000381,5.800000191,6.5,7.900000095,9.300000191,6.300000191,9.699999809,5.599999905,6.5,8.0,9.300000191,6.300000191,9.699999809,4.699999809,6.400000095,7.900000095,9.399999619,6.099999905,9.800000191,5.0,6.400000095,8.100000381,9.300000191,6.099999905,9.199999809,5.0,6.300000191,8.100000381
21,ME,7.699999809,5.599999905,7.400000095,5.300000191,6.599999905,7.5,8.5,5.300000191,7.5,5.300000191,6.199999809,7.400000095,8.5,5.199999809,8.800000191,5.199999809,6.400000095,7.400000095,8.399999619,5.900000095,8.899999619,5.199999809,6.400000095,6.400000095,7.800000191,6.0,8.899999619,5.400000095,6.699999809,6.5,7.099999905,6.099999905,8.899999619,5.800000191,6.0,6.5,8.199999809,5.900000095,9.0,5.800000191,6.300000191,6.800000191,8.0,6.0,9.0,5.800000191,6.699999809,6.800000191
22,MI,8.800000191,5.400000095,8.100000381,4.900000095,5.699999809,6.5,8.899999619,5.300000191,8.199999809,4.900000095,5.699999809,6.599999905,8.899999619,4.599999905,8.300000191,4.900000095,5.599999905,6.5,8.600000381,5.0,8.5,5.0,5.400000095,5.599999905,9.399999619,4.900000095,9.100000381,4.900000095,5.699999809,5.599999905,9.100000381,4.800000191,9.100000381,4.5,5.699999809,6.0,9.300000191,4.800000191,9.100000381,4.599999905,6.099999905,7.300000191,9.300000191,4.900000095,9.199999809,4.599999905,6.199999809,7.300000191
23,MN,7.900000095,4.900000095,7.5,5.300000191,6.099999905,6.800000191,8.5,5.599999905,7.800000191,5.300000191,6.099999905,6.800000191,8.5,5.800000191,7.800000191,5.199999809,6.099999905,6.900000095,8.5,6.400000095,7.900000095,5.400000095,6.300000191,6.5,8.5,6.5,7.900000095,5.199999809,6.900000095,6.5,8.300000191,6.199999809,8.0,4.800000191,6.5,7.0,9.0,6.099999905,8.0,4.900000095,6.699999809,7.0,9.0,6.199999809,8.5,4.699999809,7.199999809,7.099999905
24,MO,8.399999619,4.199999809,8.600000381,5.099999905,6.699999809,5.800000191,8.800000191,4.199999809,8.800000191,5.199999809,6.5,5.599999905,8.699999809,4.099999905,8.800000191,5.099999905,6.699999809,5.800000191,8.699999809,4.800000191,8.800000191,4.900000095,6.699999809,6.199999809,9.100000381,5.0,9.0,5.099999905,6.900000095,6.300000191,9.100000381,5.0,9.0,5.300000191,6.5,6.699999809,8.899999619,4.900000095,9.0,5.300000191,6.800000191,6.800000191,8.800000191,5.099999905,9.100000381,5.400000095,7.0,6.800000191
25,MS,6.400000095,3.099999905,8.300000191,4.300000191,3.799999952,5.199999809,5.900000095,5.099999905,8.5,4.300000191,3.700000048,5.599999905,6.5,4.800000191,8.600000381,4.300000191,4.0,5.800000191,8.0,4.900000095,8.899999619,4.400000095,5.699999809,6.099999905,7.599999905,5.5,9.0,5.099999905,5.699999809,6.0,7.5,5.5,9.0,4.699999809,5.699999809,6.0,8.5,5.300000191,9.0,4.699999809,5.599999905,5.900000095,8.5,5.400000095,9.0,4.800000191,5.900000095,6.0
26,MT,6.699999809,2.900000095,7.199999809,3.799999952,6.099999905,5.900000095,7.400000095,5.099999905,7.5,3.799999952,6.699999809,6.0,7.5,4.599999905,8.199999809,3.700000048,6.599999905,6.099999905,8.199999809,5.199999809,8.399999619,3.700000048,6.199999809,5.900000095,8.5,5.5,8.399999619,4.0,6.0,6.0,8.199999809,5.5,8.399999619,4.199999809,6.199999809,6.300000191,8.100000381,5.599999905,8.399999619,4.5,7.0,6.599999905,7.800000191,5.599999905,8.399999619,4.300000191,7.400000095,6.800000191
27,NC,7.099999905,3.700000048,9.100000381,4.699999809,6.199999809,6.300000191,7.400000095,3.700000048,9.300000191,4.800000191,6.099999905,6.400000095,7.699999809,3.599999905,9.5,4.900000095,6.599999905,6.5,7.800000191,5.400000095,9.600000381,4.900000095,6.400000095,7.099999905,8.0,5.300000191,9.600000381,4.699999809,6.400000095,7.199999809,7.699999809,5.300000191,9.699999809,4.699999809,5.699999809,7.699999809,8.399999619,5.099999905,9.699999809,4.800000191,6.5,7.699999809,8.399999619,5.099999905,9.699999809,4.699999809,6.699999809,7.800000191
28,ND,7.400000095,5.800000191,7.599999905,5.099999905,6.099999905,5.900000095,8.100000381,5.599999905,7.900000095,5.199999809,5.900000095,5.599999905,8.199999809,5.900000095,8.0,5.199999809,5.900000095,5.800000191,8.300000191,6.0,8.100000381,5.099999905,5.800000191,5.699999809,8.5,6.5,8.699999809,4.800000191,5.599999905,5.900000095,8.5,6.400000095,9.399999619,4.300000191,6.0,6.099999905,7.599999905,6.400000095,9.399999619,5.0,6.800000191,6.099999905,7.699999809,6.400000095,9.399999619,4.900000095,7.5,6.300000191
29,NE,8.699999809,5.5,8.600000381,4.699999809,6.5,6.599999905,9.199999809,5.400000095,8.800000191,4.800000191,6.599999905,6.599999905,8.800000191,5.599999905,8.899999619,4.800000191,7.0,6.699999809,9.0,5.900000095,9.100000381,5.0,6.300000191,6.400000095,8.800000191,5.800000191,9.100000381,4.699999809,6.900000095,6.599999905,9.5,5.800000191,9.199999809,5.300000191,6.800000191,6.5,9.199999809,5.800000191,9.199999809,5.400000095,7.300000191,7.099999905,9.0,6.0,9.199999809,5.400000095,7.599999905,7.0
30,NH,6.599999905,4.099999905,7.599999905,6.0,6.699999809,7.099999905,8.5,4.599999905,7.699999809,6.0,6.199999809,7.0,8.5,4.599999905,8.399999619,6.0,6.199999809,7.099999905,8.300000191,4.800000191,8.699999809,6.199999809,6.300000191,7.300000191,8.5,4.900000095,8.800000191,6.0,6.400000095,7.300000191,8.399999619,4.800000191,8.899999619,6.800000191,6.0,7.199999809,8.399999619,4.599999905,8.800000191,6.699999809,6.5,7.599999905,8.300000191,4.699999809,8.800000191,6.599999905,7.0,7.699999809
31,NJ,7.800000191,4.099999905,7.900000095,5.300000191,5.699999809,6.300000191,8.0,4.300000191,8.0,5.400000095,6.0,6.099999905,7.900000095,4.199999809,8.0,5.400000095,5.599999905,6.099999905,8.0,4.900000095,8.100000381,5.400000095,5.800000191,6.800000191,7.699999809,5.599999905,8.199999809,5.400000095,5.800000191,6.800000191,8.0,5.599999905,8.199999809,5.400000095,6.300000191,7.099999905,7.900000095,5.400000095,8.199999809,5.5,6.300000191,6.900000095,8.600000381,5.5,8.199999809,5.5,6.400000095,7.0
32,NM,8.899999619,3.200000048,7.800000191,3.900000095,4.800000191,6.300000191,8.800000191,3.099999905,8.0,4.0,4.599999905,6.300000191,8.5,3.799999952,8.800000191,4.0,5.300000191,6.5,7.900000095,4.099999905,8.699999809,4.099999905,4.800000191,6.300000191,8.699999809,4.099999905,8.800000191,4.199999809,5.099999905,6.300000191,8.899999619,4.099999905,8.899999619,3.599999905,4.199999809,6.699999809,8.699999809,4.0,8.800000191,3.700000048,4.599999905,6.900000095,9.0,4.0,8.199999809,3.799999952,4.699999809,6.900000095
33,NV,7.199999809,4.099999905,8.0,3.700000048,3.799999952,6.699999809,7.900000095,3.599999905,8.100000381,3.700000048,3.799999952,5.800000191,8.300000191,3.700000048,8.199999809,3.599999905,4.099999905,6.199999809,8.199999809,4.400000095,8.0,3.700000048,4.199999809,6.599999905,8.5,4.5,8.0,3.400000095,4.0,6.699999809,8.0,4.599999905,8.100000381,3.299999952,4.300000191,6.699999809,7.900000095,4.5,8.100000381,3.599999905,3.900000095,6.599999905,7.699999809,4.300000191,8.100000381,3.5,4.300000191,6.400000095
34,NY,7.699999809,5.099999905,7.900000095,4.800000191,5.5,7.099999905,8.199999809,5.599999905,8.100000381,4.900000095,5.699999809,7.199999809,9.0,5.599999905,8.199999809,4.900000095,5.699999809,7.199999809,8.399999619,6.099999905,8.300000191,5.0,5.900000095,7.300000191,9.100000381,5.900000095,8.399999619,5.099999905,6.099999905,7.400000095,9.100000381,5.900000095,8.399999619,4.900000095,5.699999809,7.5,8.899999619,5.699999809,8.399999619,5.0,5.900000095,7.599999905,9.100000381,5.800000191,8.5,5.0,6.099999905,7.599999905
35,OH,6.199999809,4.599999905,8.0,4.5,5.800000191,5.0,6.599999905,4.800000191,8.199999809,4.5,5.599999905,4.900000095,7.300000191,5.400000095,8.300000191,4.5,5.599999905,4.900000095,6.599999905,5.800000191,8.399999619,4.5,5.800000191,5.699999809,6.699999809,5.199999809,8.5,4.599999905,6.099999905,5.800000191,6.5,5.099999905,8.5,4.900000095,5.900000095,5.800000191,6.800000191,5.0,8.600000381,4.900000095,6.199999809,6.199999809,6.800000191,5.199999809,9.100000381,4.900000095,6.199999809,6.300000191
36,OK,7.400000095,4.400000095,7.900000095,4.5,6.0,6.199999809,7.400000095,5.400000095,8.100000381,4.599999905,6.0,4.300000191,7.5,5.099999905,8.199999809,4.699999809,6.300000191,4.300000191,7.099999905,5.5,8.199999809,4.699999809,6.099999905,5.699999809,7.5,5.5,7.599999905,4.900000095,6.0,5.900000095,7.400000095,5.5,9.0,4.800000191,6.0,5.900000095,8.100000381,5.400000095,9.0,4.900000095,5.800000191,6.0,8.100000381,5.300000191,9.100000381,4.800000191,6.199999809,6.099999905
37,OR,7.5,5.099999905,7.599999905,4.099999905,5.900000095,6.099999905,8.5,5.0,7.800000191,4.199999809,6.0,6.300000191,8.199999809,5.400000095,7.800000191,4.300000191,6.099999905,6.400000095,8.699999809,5.599999905,7.900000095,4.5,6.300000191,7.5,8.399999619,6.0,7.900000095,4.699999809,5.900000095,7.699999809,8.5,6.0,7.900000095,4.900000095,6.400000095,7.800000191,8.399999619,5.800000191,7.900000095,5.0,7.0,7.300000191,8.399999619,6.0,8.5,5.099999905,6.599999905,7.199999809
38,PA,7.199999809,4.400000095,8.199999809,5.5,5.900000095,4.599999905,7.599999905,4.300000191,8.199999809,5.5,6.0,4.699999809,7.800000191,4.300000191,8.800000191,5.400000095,6.099999905,4.900000095,7.800000191,5.400000095,9.100000381,5.5,6.0,6.699999809,8.300000191,5.099999905,9.0,5.400000095,6.599999905,6.599999905,8.5,5.099999905,9.0,5.300000191,5.800000191,6.699999809,8.399999619,5.5,8.5,5.400000095,6.900000095,6.800000191,8.399999619,5.599999905,8.5,5.5,6.900000095,6.699999809
39,RI,7.0,6.199999809,8.0,5.900000095,6.099999905,5.599999905,7.199999809,6.099999905,8.0,6.400000095,7.199999809,5.599999905,7.099999905,6.5,8.0,6.099999905,7.099999905,5.699999809,7.800000191,6.699999809,8.199999809,5.900000095,7.400000095,6.099999905,7.0,6.800000191,9.0,5.800000191,7.300000191,6.099999905,7.599999905,6.800000191,8.399999619,5.900000095,7.300000191,6.400000095,7.599999905,6.699999809,8.899999619,5.800000191,8.199999809,6.099999905,7.5,6.699999809,9.0,5.599999905,7.800000191,6.400000095
40,SC,7.5,3.5,9.100000381,5.0,6.099999905,6.400000095,7.400000095,3.799999952,9.300000191,5.0,6.199999809,5.199999809,7.599999905,4.199999809,9.399999619,5.0,6.5,5.300000191,7.800000191,4.0,9.600000381,5.199999809,6.300000191,6.800000191,7.800000191,4.0,9.600000381,5.5,6.400000095,6.900000095,7.699999809,4.0,9.600000381,5.900000095,6.0,7.300000191,8.100000381,3.900000095,9.699999809,6.099999905,6.599999905,7.300000191,8.300000191,3.900000095,9.699999809,6.099999905,6.699999809,7.5
41,SD,7.599999905,4.0,7.400000095,4.699999809,6.800000191,5.900000095,7.5,4.099999905,7.5,4.699999809,6.699999809,5.800000191,7.800000191,4.0,7.699999809,4.599999905,7.400000095,5.900000095,8.300000191,4.300000191,8.199999809,4.599999905,7.5,5.599999905,8.199999809,4.300000191,8.199999809,4.599999905,7.400000095,5.300000191,7.599999905,4.199999809,8.199999809,4.800000191,7.300000191,5.599999905,8.399999619,4.199999809,8.199999809,4.800000191,7.0,6.0,8.399999619,4.099999905,8.800000191,4.800000191,7.099999905,6.099999905
42,TN,6.800000191,4.699999809,8.899999619,4.199999809,6.400000095,6.300000191,7.599999905,4.699999809,9.0,4.199999809,6.5,6.699999809,7.400000095,4.0,9.100000381,4.099999905,6.300000191,6.599999905,8.399999619,4.300000191,9.300000191,4.099999905,6.099999905,6.400000095,8.800000191,5.0,9.300000191,4.199999809,5.800000191,6.400000095,8.800000191,4.900000095,9.399999619,4.599999905,5.400000095,6.5,8.800000191,4.800000191,9.399999619,4.800000191,5.800000191,6.300000191,8.800000191,4.699999809,9.399999619,4.800000191,5.599999905,6.400000095
43,TX,8.600000381,4.400000095,7.599999905,3.799999952,5.699999809,6.5,9.0,4.199999809,7.900000095,3.799999952,5.800000191,6.800000191,8.800000191,4.199999809,8.5,4.599999905,5.900000095,6.900000095,8.399999619,4.599999905,8.600000381,4.5,5.900000095,7.300000191,8.399999619,5.099999905,8.699999809,4.699999809,5.699999809,7.400000095,8.600000381,5.099999905,8.800000191,4.800000191,5.300000191,7.5,8.800000191,5.0,8.800000191,4.800000191,5.800000191,6.900000095,9.0,4.900000095,8.800000191,4.800000191,5.900000095,6.900000095
44,UT,7.800000191,5.5,9.399999619,4.300000191,4.900000095,6.300000191,8.300000191,5.5,9.600000381,4.400000095,5.0,6.199999809,8.100000381,5.599999905,9.699999809,4.5,5.0,6.099999905,8.699999809,5.5,9.600000381,5.199999809,4.900000095,6.199999809,8.300000191,6.099999905,9.699999809,5.300000191,5.099999905,6.400000095,8.399999619,6.199999809,9.699999809,5.699999809,4.5,6.699999809,8.300000191,6.199999809,9.199999809,5.599999905,5.300000191,6.599999905,8.5,6.300000191,9.800000191,5.599999905,5.400000095,6.800000191
45,VA,7.800000191,4.300000191,9.300000191,5.099999905,5.400000095,7.5,8.0,4.400000095,9.399999619,5.099999905,5.599999905,7.5,8.600000381,4.599999905,9.5,5.800000191,5.5,7.599999905,8.5,5.099999905,9.699999809,5.900000095,5.5,7.699999809,9.600000381,5.800000191,9.699999809,5.900000095,5.5,7.800000191,9.300000191,5.800000191,9.699999809,5.599999905,5.699999809,7.699999809,9.399999619,5.599999905,9.699999809,5.699999809,5.900000095,7.699999809,9.399999619,5.699999809,9.699999809,5.699999809,6.099999905,7.800000191
46,VT,8.600000381,4.900000095,8.800000191,5.800000191,6.300000191,6.800000191,9.0,5.099999905,8.899999619,5.900000095,6.099999905,6.800000191,8.600000381,6.300000191,9.0,5.599999905,5.800000191,6.900000095,9.399999619,6.5,8.800000191,6.0,5.800000191,6.699999809,9.399999619,6.599999905,8.800000191,5.699999809,5.599999905,7.099999905,9.399999619,6.699999809,8.800000191,5.800000191,6.0,7.099999905,8.800000191,6.699999809,8.899999619,6.199999809,5.900000095,6.800000191,9.0,6.699999809,8.899999619,6.0,6.0,7.400000095
47,WA,8.199999809,5.699999809,7.400000095,3.900000095,5.199999809,7.099999905,8.600000381,5.5,7.599999905,4.0,5.199999809,7.199999809,8.5,5.300000191,8.300000191,3.900000095,5.300000191,7.300000191,8.600000381,5.5,8.300000191,4.099999905,5.599999905,7.699999809,8.399999619,5.599999905,8.399999619,4.0,5.5,7.699999809,8.5,5.599999905,8.399999619,4.0,5.5,7.800000191,8.399999619,5.599999905,8.399999619,3.700000048,5.599999905,8.100000381,8.300000191,5.599999905,8.399999619,4.199999809,6.199999809,8.0
